岭秀城,19栋15#,通力电梯有限公司,乘客电梯,31104404002009100017,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,18栋13#,通力电梯有限公司,乘客电梯,31104404002009100016,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,15栋8#（L8）,通力电梯有限公司,乘客电梯,31104404002009100015,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,14栋6#（L6）,通力电梯有限公司,乘客电梯,31104404002009100014,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,13栋L4,通力电梯有限公司,乘客电梯,31104404002009100013,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,12栋L2,通力电梯有限公司,乘客电梯,31104404002009100012,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,15栋7#（L7),通力电梯有限公司,乘客电梯,31104404002009100011,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,14栋L5,通力电梯有限公司,乘客电梯,31104404002009100010,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,13栋L3,通力电梯有限公司,乘客电梯,31104404002009100009,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,12栋L1,通力电梯有限公司,乘客电梯,31104404002009100008,,,,,PT13/20-19,曳引驱动,,,,,,2018-6-19,拱北岭南路8号,,,
岭秀城,2栋L3,通力电梯有限公司,乘客电梯,31104404002007110133,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,2栋L4,通力电梯有限公司,乘客电梯,31104404002007110132,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,4栋L7,通力电梯有限公司,乘客电梯,31104404002007110131,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,3栋L6,通力电梯有限公司,乘客电梯,31104404002007110130,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,1栋L1,通力电梯有限公司,乘客电梯,31104404002007110129,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,6栋L12,通力电梯有限公司,乘客电梯,31104404002007110128,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,6栋L11,通力电梯有限公司,乘客电梯,31104404002007110127,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,6栋L13,通力电梯有限公司,乘客电梯,31104404002007110126,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,11栋23#,通力电梯有限公司,乘客电梯,31104404002007110125,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,1栋L2,通力电梯有限公司,乘客电梯,31104404002007110124,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,10栋21#,通力电梯有限公司,乘客电梯,31104404002007110123,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,11栋22#,通力电梯有限公司,乘客电梯,31104404002007110122,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,9栋18#,通力电梯有限公司,乘客电梯,31104404002007110121,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,10栋20#,通力电梯有限公司,乘客电梯,31104404002007110120,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,9栋19#,通力电梯有限公司,乘客电梯,31104404002007110119,,,,,PT13/18-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,5栋L9,通力电梯有限公司,乘客电梯,31104404002007110118,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,4栋L8,通力电梯有限公司,乘客电梯,31104404002007110117,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,5栋L10,通力电梯有限公司,乘客电梯,31104404002007110116,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
岭秀城,7栋L14,通力电梯有限公司,乘客电梯,31104404002007110115,,,,,PT13/20-19,曳引驱动,,,,,,2018-4-16,拱北岭南路8号,,,
