银座商场,1#,巨人通力电梯,乘客电梯,32103203032011010185,A,上海三菱电梯有限公司,2010-04-01,G37785,GF18BII,曳引驱动,8,8,8,2000,1,2018-03-21,大同街路125号,,,
银座商场,2#,巨人通力电梯,乘客电梯,32103203032011010184,B,上海三菱电梯有限公司,2010-04-01,G37786,GF18BII,曳引驱动,8,8,8,2000,1,2018-03-21,大同街路125号,,,
鑫亞酒店,东面南梯,西子奥的斯电梯,乘客电梯,31103203022010110831,,上海三菱电梯有限公司,2010-11-01,,,曳引驱动,14,14,14,1000,1.5,,长安大道76号,,,
鑫亞酒店,东面北梯,西子奥的斯电梯,乘客电梯,31103203022010110832,,上海三菱电梯有限公司,2010-11-01,,,曳引驱动,14,14,14,1000,1.5,,长安大道76号,,,
鑫亞酒店,南梯,怡达快速电梯,乘客电梯,31103203022012070988,,上海三菱电梯有限公司,2012-07-01,,,曳引驱动,5,5,5,1000,1,,长安大道76号,,,
冠宇供电,办公楼西梯,西子奥的斯电梯,乘客电梯,31103203022008060260,A,日立电梯（中国）有限公司,2007-10-01,F8NP4737,CH-CON4423MMR,曳引驱动,9,9,9,1000,1.75,2017-12-28,杨山路15号,,,
冠宇供电,办公楼东梯,西子奥的斯电梯,乘客电梯,31103203022008060259,B,日立电梯（中国）有限公司,2007-10-01,F8NP4738,CH-CON4423MMR,曳引驱动,9,9,9,1000,1.75,2017-12-28,杨山路15号,,,
公安消防支队,大厅1#,上海三菱电梯,乘客电梯,31303203112012060521,,日立电梯（中国）有限公司,2010-07-01,1007000623,ELENESSA,曳引驱动,6,6,6,825,1,2017-06-07,潘塘镇连徐高速北,,,
公安消防支队,大厅2#,上海三菱电梯,乘客电梯,31303203112012060522,,日立电梯（中国）有限公司,2010-07-01,1007000622,ELENESSA,曳引驱动,6,6,6,825,1,2017-06-07,潘塘镇连徐高速北,,,
公安消防支队,训练楼1#,上海三菱电梯,乘客电梯,31103203032015060730,,日立电梯（中国）有限公司,2013-10-01,131000279,LEGY,曳引驱动,11,11,11,1050,1.75,2017-06-07,潘塘镇连徐高速北,,,
徐州市总工会,干部学校南区南梯,苏州帝奥电梯,乘客电梯,31103203032013050460,1#,日立电梯（中国）有限公司,2012-06-01,D2012-573,TKJ1250/1.75M/S-JXW.VVVF,曳引驱动,6,6,6,1250,1.75,2018-07-02,镜泊东路1号,,,
徐州市总工会,干部学校南区中梯,苏州帝奥电梯,乘客电梯,31103203032013050461,2#,日立电梯（中国）有限公司,2012-06-01,D2012-574-1,TKJ1250/1.75M/S-JXW.VVVF,曳引驱动,7,7,7,1250,1.75,2018-07-02,镜泊东路1号,,,
徐州市总工会,干部学校南区北梯,苏州帝奥电梯,乘客电梯,31103203032013050462,3#,日立电梯（中国）有限公司,2012-06-01,D2012-574-2,TKJ1250/1.75M/S-JXW.VVVF,曳引驱动,7,7,7,1250,1.75,2018-07-02,镜泊东路1号,,,
徐州市总工会,干部学校北区南梯,苏州帝奥电梯,乘客电梯,31103203032013050459,4#,日立电梯（中国）有限公司,2012-06-01,D2012-575-1,TKJ1250/1.75M/S-JXW.VVVF,曳引驱动,6,6,6,1250,1.75,2018-07-02,镜泊东路1号,,,
徐州市总工会,干部学校北区北梯,苏州帝奥电梯,乘客电梯,31103203032013050463,5#,日立电梯（中国）有限公司,2012-06-01,D2012-575-2,TKJ1250/1.75M/S-JXW.VVVF,曳引驱动,6,6,6,1250,1.75,2018-07-02,镜泊东路1号,,,
