淮滨县五谷春酒业股份有限公司,仓库东北,,载货电梯,,,,,,KLH/VF3000/0.5,曳引驱动,2,2,2,3000,0.5,2018.09.05,淮滨县金谷春大道东段,,,
淮滨县豫南商都,1#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,2#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,3#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,4#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,5#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,6#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,7#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,8#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县豫南商都,9#,,乘客电梯,,,,,,UN-Victor,曳引驱动,5,5,5,630,1,,乌龙大道与金谷春大道交汇处,,,
淮滨县周殿仁,1#,,乘客电梯,31104115272018050004,,,,,WKT400,曳引驱动,6,6,6,800,1,2019.04.24,城关镇任堰村,,,
淮滨县周末阳光宾馆,1#,,乘客电梯,,,,,,DVF,曳引驱动,6,6,6,630,1,2018.04.12,淮滨县乌龙大道新县委西  ,,,
吉士风,1#,,乘客电梯,,,,,,TKJ800/1.0-VVVF,曳引驱动,5,5,5,800,1,2018.11.24,淮滨县吉庙街道,,,
信阳市运输集团有限责任公司淮滨汽车站,北站,,乘客电梯,31104115272018050001,,,,,UN-Victor,曳引驱动,9,9,9,1000,1.75,2019.03.19,淮滨县北城,,,
